tecdoc_ktypnr;tecdoc_constr;tecdoc_constrcode;tecdoc_model1;tecdoc_modelcode;tecdoc_cyl;tecdoc_litr;tecdoc_ccmtech;tecdoc_moisdseb;tecdoc_anneedeb;tecdoc_moisfin;tecdoc_anneefin;tecdoc_andeb;tecdoc_anfin;tecdoc_kw;tecdoc_cv;tecdoc_carross;tecdoc_propulsion;tecdoc_energie;tecdoc_codemoteur;tecdoc_nbcyl;tecdoc_nbsoup
1;OPEL;84;CORSA D;5598;1.4;1.4;1364;07;2006;-;-;07/2006;-;66;90;3/5 portes;Traction avant;Essence;Z 14 XEP;4;4
2;BMW;16;02;164;1502;1.6;1563;01;1975;07;1977;01/1975;07/1977;55;75;A trois volumes;Propulsion;Essence;M10 B16;4;2
3;RENAULT;93;MEGANE III Coupé;7867;2.0 TCe;2;1998;05;2009;-;-;05/2009;-;184;250;Coupé;Traction avant;Essence;F4R 874;4;4
4;BMW;16;02;164;1602;1.6;1563;04;1971;07;1975;04/1971;07/1975;63;85;A trois volumes;Propulsion;Essence;M10 B16;4;2
5;BMW;16;02;164;1802;1.8;1754;05;1971;07;1975;05/1971;07/1975;66;90;A trois volumes;Propulsion;Essence;M10 B18;4;2
6;BMW;16;02;164;2002;2;1977;02;1968;07;1975;02/1968;07/1975;74;100;A trois volumes;Propulsion;Essence;M10 B20;4;2
7;BMW;16;02 Décapotable;1608;2002;2;1977;05;1971;07;1975;05/1971;07/1975;74;100;Décapotable;Propulsion;Essence;M10 B20;4;2
8;BMW;16;02;164;2002 Tii;2;1977;05;1971;07;1975;05/1971;07/1975;96;130;A trois volumes;Propulsion;Essence;M10 B20;4;2
9;BMW;16;02;164;2002 Turbo;2;1977;01;1974;07;1975;01/1974;07/1975;125;170;A trois volumes;Propulsion;Essence;M10 B20 (22T A);4;2
10;BMW;16;1500-2000;187;2000;2;1977;09;1968;07;1972;09/1968;07/1972;74;100;A trois volumes;Propulsion;Essence;M10 B20;4;2
11;BMW;16;3;286;315;1.6;1563;03;1981;03;1984;03/1981;03/1984;55;75;A trois volumes;Propulsion;Essence;M10 B16 (164VB);4;2
12;BMW;16;3;286;316;1.6;1563;08;1975;08;1980;08/1975;08/1980;66;90;A trois volumes;Propulsion;Essence;M10 B16 (164VA);4;2
13;BMW;16;3;286;316;1.8;1754;09;1980;08;1982;09/1980;08/1982;66;90;A trois volumes;Propulsion;Essence;M10 B18 (184VC);4;2
14;BMW;16;3;286;318;1.8;1754;08;1975;08;1980;08/1975;08/1980;72;98;A trois volumes;Propulsion;Essence;M10 B18 (184VA);4;2
15;BMW;16;3;286;318 i;1.8;1754;11;1979;08;1982;11/1979;08/1982;77;105;A trois volumes;Propulsion;Essence;M10 B18 (184VA);4;2
16;BMW;16;3;286;320;2;1977;08;1975;08;1977;08/1975;08/1977;80;109;A trois volumes;Propulsion;Essence;M10 B20;4;2
17;BMW;16;3;286;320/6;2;1977;09;1977;08;1982;09/1977;08/1982;90;122;A trois volumes;Propulsion;Essence;M20 B20 (206VA);6;2
18;BMW;16;3;286;320 i;2;1977;06;1975;08;1982;06/1975;08/1982;92;125;A trois volumes;Propulsion;Essence;M10 B20;4;2
19;BMW;16;3;286;323 i;2.3;2291;01;1978;08;1982;01/1978;08/1982;105;143;A trois volumes;Propulsion;Essence;M20 B23 (236EA);6;2
20;BMW;16;3;290;316;1.8;1754;09;1983;12;1990;09/1983;12/1990;66;90;A trois volumes;Propulsion;Essence;M10 B18 (184VD);4;2
21;BMW;16;3;290;316 i;1.6;1585;09;1987;06;1991;09/1987;06/1991;73;100;A trois volumes;Propulsion;Essence;M40 B16 (164E1);4;2
22;BMW;16;3;290;318 i;1.8;1754;12;1984;08;1988;12/1984;08/1988;75;102;A trois volumes;Propulsion;Essence;M10 B18 (184KA);4;2
23;BMW;16;3;290;318 i;1.8;1754;09;1982;08;1987;09/1982;08/1987;77;105;A trois volumes;Propulsion;Essence;M10 B18 (184EA);4;2
24;BMW;16;3;290;318 i;1.8;1783;09;1987;06;1991;09/1987;06/1991;85;115;A trois volumes;Propulsion;Essence;M40 B18 (184E1);4;2
25;RENAULT;93;MEGANE CC;8578;1.6 16V;1.6;1598;06;2010;-;-;06/2010;-;81;110;Décapotable;Traction avant;Essence;K4M 858;4;4
26;SUZUKI;109;SWIFT IV;8994;1.2;1.2;1242;10;2010;-;-;10/2010;-;69;94;3/5 portes;Traction avant;Essence;K12B;4;4
27;BMW;16;3;290;318 i;1.8;1796;09;1987;06;1991;09/1987;06/1991;83;113;A trois volumes;Propulsion;Essence;M40 B18 (184E1);4;2
28;BMW;16;3;290;318 is;1.8;1783;09;1989;08;1991;09/1989;08/1991;100;136;A trois volumes;Propulsion;Essence;M42 B18 (184S1);4;4
29;BMW;16;3;290;320 i;2;1976;12;1985;06;1991;12/1985;06/1991;95;129;A trois volumes;Propulsion;Essence;M20 B20 (206KA);6;2
30;BMW;16;3;290;320 i;2;1977;09;1982;12;1991;09/1982;12/1991;92;125;A trois volumes;Propulsion;Essence;M20 B20 (206EB);6;2
31;BMW;16;3;290;M3 2.3;2.3;2266;07;1986;06;1991;07/1986;06/1991;143;195;A trois volumes;Propulsion;Essence;S14 B23 (234EA),S14 B23 (234S1),S14 B23 (234S2);4;4
32;BMW;16;3;290;M3 2.3;2.3;2266;02;1987;05;1989;02/1987;05/1989;147;200;A trois volumes;Propulsion;Essence;S14 B23 (234S2);4;4
33;BMW;16;3;290;323 i;2.3;2291;09;1982;08;1983;09/1982;08/1983;102;139;A trois volumes;Propulsion;Essence;M20 B23 (236EC);6;2
34;BMW;16;3;290;323 i;2.3;2291;09;1983;08;1986;09/1983;08/1986;110;150;A trois volumes;Propulsion;Essence;M20 B23 (236EC);6;2
35;BMW;16;3;290;M3 2.3;2.3;2266;07;1985;06;1991;07/1985;06/1991;158;215;A trois volumes;Propulsion;Essence;S14 B23 (234EA);4;4
36;BMW;16;3;290;325 i X;2.5;2476;12;1986;08;1991;12/1986;08/1991;125;170;A trois volumes;Traction intégrale;Essence;M20 B25 (256E1),M20 B25 (256E2),M20 B25 (256EX),M20 B25 (256K1);6;2
37;BMW;16;3;290;325 i;2.5;2476;12;1986;06;1991;12/1986;06/1991;125;170;A trois volumes;Propulsion;Essence;M20 B25 (256E1),M20 B25 (256E2),M20 B25 (256EX),M20 B25 (256K1);6;2
38;BMW;16;3;290;325 i X;2.5;2476;03;1986;12;1987;03/1986;12/1987;126;171;A trois volumes;Traction intégrale;Essence;M20 B25 (256E1),M20 B25 (256E2),M20 B25 (256EX),M20 B25 (256K1);6;2
39;BMW;16;3;290;325 i;2.5;2476;09;1983;11;1989;09/1983;11/1989;126;171;A trois volumes;Propulsion;Essence;M20 B25 (256E2);6;2
40;BMW;16;3;290;325 e 2.7;2.7;2674;10;1983;12;1988;10/1983;12/1988;90;122;A trois volumes;Propulsion;Essence;M20 B27 (276KA),M20 B27 (276KB);6;2
41;BMW;16;3;290;325 e 2.7;2.7;2674;01;1985;08;1987;01/1985;08/1987;95;129;A trois volumes;Propulsion;Essence;M20 B27 (276KB);6;2
42;BMW;16;3;290;324 d;2.4;2426;09;1985;08;1991;09/1985;08/1991;63;86;A trois volumes;Propulsion;Diesel;M21 D24 (246DA);6;2
43;BMW;16;3;290;324 td;2.4;2426;09;1987;08;1991;09/1987;08/1991;85;115;A trois volumes;Propulsion;Diesel;M21 D24 (246TB);6;2
44;BMW;16;3 Touring;294;318 i;1.8;1796;04;1989;06;1994;04/1989;06/1994;83;113;Break;Propulsion;Essence;M40 B18 (184E1);4;2
45;BMW;16;3 Touring;294;320 i;2;1976;01;1988;12;1991;01/1988;12/1991;95;129;Break;Propulsion;Essence;M20 B20 (206KA);6;2
46;BMW;16;3 Touring;294;325 i;2.5;2476;07;1987;03;1993;07/1987;03/1993;125;170;Break;Propulsion;Essence;M20 B25 (256K1);6;2
47;BMW;16;3 Touring;294;325 i X;2.5;2494;06;1988;10;1993;06/1988;10/1993;125;170;Break;Traction intégrale;Essence;M20 B25 (256K1);6;2
48;BMW;16;3 Touring;294;324 td;2.4;2426;01;1988;06;1993;01/1988;06/1993;85;115;Break;Propulsion;Diesel;M21 D24 (246TB);6;2
49;BMW;16;3;304;316 i;1.6;1596;09;1990;09;1993;09/1990;09/1993;73;100;A trois volumes;Propulsion;Essence;M40 B16 (164E1);4;2
50;BMW;16;3;304;316 i;1.6;1596;07;1993;02;1998;07/1993;02/1998;75;102;A trois volumes;Propulsion;Essence;M43 B16 (164E2);4;2
51;BMW;16;3;304;318 i;1.8;1796;12;1990;10;1993;12/1990;10/1993;83;113;A trois volumes;Propulsion;Essence;M40 B18 (184E1);4;2
52;BMW;16;3;304;318 is;1.8;1796;03;1993;02;1998;03/1993;02/1998;103;140;A trois volumes;Propulsion;Essence;M42 B18 (184S1);4;4
53;BMW;16;3 Coupé;308;318 is;1.8;1796;03;1992;10;1995;03/1992;10/1995;103;140;Coupé;Propulsion;Essence;M42 B18 (184S1);4;4
54;BMW;16;3;304;320 i;2;1991;09;1990;02;1998;09/1990;02/1998;110;150;A trois volumes;Propulsion;Essence;M50 B20 (206S1),M50 B20 (206S2),M52 B20 (206S3);6;4
55;BMW;16;3 Coupé;308;320 i;2;1991;03;1992;04;1999;03/1992;04/1999;110;150;Coupé;Propulsion;Essence;M50 B20 (206S1),M50 B20 (206S2),M52 B20 (206S3);6;4
56;SUZUKI;109;SWIFT IV;8994;1.2 4x4;1.2;1242;10;2010;-;-;10/2010;-;69;94;3/5 portes;Traction intégrale;Essence;K12B;4;4
57;SUZUKI;109;SWIFT IV;8994;1.3 DDiS;1.3;1248;10;2010;-;-;10/2010;-;55;75;3/5 portes;Traction avant;Diesel;D13A;4;4
58;RENAULT;93;MEGANE CC;8578;2.0 CVT;2;1997;06;2010;-;-;06/2010;-;103;140;Décapotable;Traction avant;Essence;M4R 713,M4R 711;4;4
59;BMW;16;3;304;325 i;2.5;2494;09;1990;09;1995;09/1990;09/1995;141;192;A trois volumes;Propulsion;Essence;M50 B25 (256S1),M50 B25 (256S2);6;4
60;FORD;36;C-MAX II;8995;1.6 Ti;1.6;1596;12;2010;-;-;12/2010;-;92;125;Monospace;Traction avant;Essence;PNDA;4;4
61;BMW;16;3 Coupé;308;325 i;2.5;2494;03;1992;04;1999;03/1992;04/1999;141;192;Coupé;Propulsion;Essence;M50 B25 (256S1),M50 B25 (256S2);6;4
62;BMW;16;3;304;325 td;2.5;2497;09;1991;02;1998;09/1991;02/1998;85;115;A trois volumes;Propulsion;Diesel;M51 D25 (256T1);6;2
63;BMW;16;3;304;325 tds;2.5;2497;05;1993;02;1998;05/1993;02/1998;105;143;A trois volumes;Propulsion;Diesel;M51 D25 (256T1);6;2
64;BMW;16;5;456;518;1.8;1754;07;1974;05;1981;07/1974;05/1981;66;90;A trois volumes;Propulsion;Essence;M10 B18 (184VB);4;2
65;ALFA ROMEO;2;GTV;3389;2.0;2;1948;01;1985;12;1985;01/1985;12/1985;94;128;Coupé;Propulsion;Essence;AR 06212;4;2
66;FORD;36;C-MAX II;8995;1.6 Ti;1.6;1596;12;2010;-;-;12/2010;-;77;105;Monospace;Traction avant;Essence;IQDA,IQDB;4;4
67;ALFA ROMEO;2;GTV;3389;6 2.5;2.5;2464;11;1980;02;1987;11/1980;02/1987;116;158;Coupé;Propulsion;Essence;AR 01646;6;2
68;FORD;36;C-MAX II;8995;1.6 EcoBoost;1.6;1596;12;2010;-;-;12/2010;-;110;150;Monospace;Traction avant;Essence;JQDA,JQDB;4;4
69;FORD;36;C-MAX II;8995;1.6 EcoBoost;1.6;1596;12;2010;-;-;12/2010;-;134;182;Monospace;Traction avant;Essence;JTDA,JTDB;4;4
70;FORD;36;C-MAX II;8995;1.6 TDCi;1.6;1560;12;2010;-;-;12/2010;-;70;95;Monospace;Traction avant;Diesel;T3DA,T3DB;4;2
71;FORD;36;C-MAX II;8995;1.6 TDCi;1.6;1560;12;2010;-;-;12/2010;-;85;115;Monospace;Traction avant;Diesel;T1DA,T1DB;4;2
72;FORD;36;GRAND C-MAX;8996;1.6 Ti;1.6;1596;12;2010;-;-;12/2010;-;77;105;Monospace;Traction avant;Essence;IQDA,IQDB;4;4
73;FORD;36;GRAND C-MAX;8996;1.6 Ti;1.6;1596;12;2010;-;-;12/2010;-;92;125;Monospace;Traction avant;Essence;PNDA;4;4
74;FORD;36;GRAND C-MAX;8996;1.6 EcoBoost;1.6;1596;12;2010;-;-;12/2010;-;110;150;Monospace;Traction avant;Essence;JQDA,JQDB;4;4
75;FORD;36;GRAND C-MAX;8996;1.6 EcoBoost;1.6;1596;12;2010;-;-;12/2010;-;134;182;Monospace;Traction avant;Essence;JTDA,JTDB;4;4
76;FORD;36;GRAND C-MAX;8996;1.6 TDCi;1.6;1560;12;2010;-;-;12/2010;-;70;95;Monospace;Traction avant;Diesel;T3DA,T3DB;4;2
77;FORD;36;GRAND C-MAX;8996;1.6 TDCi;1.6;1560;12;2010;-;-;12/2010;-;85;115;Monospace;Traction avant;Diesel;T1DA,T1DB;4;2
78;MINELLI;1522;TF;8997;1800;1.8;1796;01;1998;-;-;01/1998;-;86;117;Décapotable;Propulsion;Essence;18 K4F;4;4
79;SAAB;99;9-5;8645;2.0 TTiD XWD;2;1956;05;2010;01;2012;05/2010;01/2012;140;190;A trois volumes;Traction intégrale;Diesel;A 20 DTR;4;4
80;STANGUELLINI;2810;750;8999;CORSA;0.7;741;01;1955;12;1955;01/1955;12/1955;59;80;Décapotable;Propulsion;Essence;CO;4;2
81;ALFA ROMEO;2;ALFASUD Sprint;329;1.3;1.3;1277;09;1976;12;1981;09/1976;12/1981;55;76;Coupé;Traction avant;Essence;AR 30184;4;2
82;ALFA ROMEO;2;ALFASUD Sprint;329;1.4;1.4;1337;05;1978;02;1980;05/1978;02/1980;55;76;Coupé;Traction avant;Essence;AR 30164;4;2
83;ALFA ROMEO;2;ALFASUD Sprint;329;1.4;1.4;1337;07;1979;12;1989;07/1979;12/1989;63;85;Coupé;Traction avant;Essence;AR 30168;4;2
84;ALFA ROMEO;2;ALFASUD Sprint;329;1.5;1.5;1474;05;1978;12;1981;05/1978;12/1981;61;83;Coupé;Traction avant;Essence;AR 30124;4;2
85;ALFA ROMEO;2;ALFASUD Sprint;329;1.5;1.5;1474;07;1979;01;1987;07/1979;01/1987;70;95;Coupé;Traction avant;Essence;AR 30128;4;2
86;ALFA ROMEO;2;ALFASUD Sprint;329;1.7 i.e.;1.7;1712;10;1987;12;1989;10/1987;12/1989;77;105;Coupé;Traction avant;Essence;AR 30558;4;2
87;ALFA ROMEO;2;ALFASUD Sprint;329;1.5;1.5;1474;03;1982;12;1988;03/1982;12/1988;77;105;Coupé;Traction avant;Essence;AR 30146;4;2
88;ALFA ROMEO;2;33;291;1.2;1.2;1178;06;1983;12;1989;06/1983;12/1989;50;68;3/5 portes;Traction avant;Essence;AR 30585;4;2
89;ALFA ROMEO;2;33;291;1.3;1.3;1337;06;1983;12;1989;06/1983;12/1989;55;75;3/5 portes;Traction avant;Essence;AR 30586,AR 30502;4;2
90;ALFA ROMEO;2;33;291;1.3;1.3;1337;10;1984;12;1989;10/1984;12/1989;63;86;3/5 portes;Traction avant;Essence;AR 30587,AR 30168;4;2
91;ALFA ROMEO;2;33;291;1.5;1.5;1474;05;1983;12;1987;05/1983;12/1987;62;84;3/5 portes;Traction avant;Essence;AR 30143,AR 30504;4;2
92;STANGUELLINI;2810;FORMULA;9000;JUNIOR;1.1;1089;01;1958;12;1968;01/1958;12/1968;58;79;Décapotable;Propulsion;Essence;101A000;4;2
93;ALFA ROMEO;2;33;291;1.5;1.5;1474;07;1986;12;1989;07/1986;12/1989;75;102;3/5 portes;Traction avant;Essence;AR 30588;4;2
94;ALFA ROMEO;2;33;291;1.5 QV;1.5;1474;06;1984;12;1989;06/1984;12/1989;77;105;3/5 portes;Traction avant;Essence;AR 30146,AR 30588,AR 30508;4;2
95;ALFA ROMEO;2;33;291;1.7 i.e.;1.7;1700;09;1988;12;1989;09/1988;12/1989;77;105;3/5 portes;Traction avant;Essence;AR 30558;4;2
96;ALFA ROMEO;2;33;291;1.7 QV;1.7;1700;03;1988;12;1989;03/1988;12/1989;84;114;3/5 portes;Traction avant;Essence;AR 30550;4;2
97;ALFA ROMEO;2;33 Sportwagon;300;1.5 4x4;1.5;1474;09;1984;12;1986;09/1984;12/1986;66;90;Break;Traction intégrale;Essence;AR 30520;4;2
98;ALFA ROMEO;2;33 Sportwagon;300;1.5 4x4;1.5;1474;12;1986;12;1989;12/1986;12/1989;75;102;Break;Traction intégrale;Essence;AR 30588;4;2
99;ALFA ROMEO;2;33 Sportwagon;300;1.5 4x4;1.5;1474;12;1986;03;1989;12/1986;03/1989;77;105;Break;Traction intégrale;Essence;AR 30146,AR 30588,AR 30508;4;2
